time,value
2024-07-13T12:51:07.314400823Z,{"lat":10.8454917557691,"lon":106.68210979510629}
2024-07-13T12:51:08.334966574Z,{"lat":10.845469418494753,"lon":106.68208982761523}
2024-07-13T12:51:09.331811493Z,{"lat":10.845469418494753,"lon":106.68208982761523}
2024-07-13T12:51:10.340829245Z,{"lat":10.845469418494753,"lon":106.68208982761523}
2024-07-13T12:51:11.378957558Z,{"lat":10.845469418494753,"lon":106.68208982761523}
2024-07-13T12:51:12.371879743Z,{"lat":10.845469418494753,"lon":106.68208982761523}
2024-07-13T12:51:13.398553681Z,{"lat":10.845469418494753,"lon":106.68208982761523}
2024-07-13T12:51:14.400946743Z,{"lat":10.84545063002417,"lon":106.68208089953815}
2024-07-13T12:51:15.413470297Z,{"lat":10.84545063002417,"lon":106.68208089953815}
2024-07-13T12:51:16.422245809Z,{"lat":10.84545063002417,"lon":106.68208089953815}
2024-07-13T12:51:17.431906504Z,{"lat":10.84545063002417,"lon":106.68208089953815}
2024-07-13T12:51:18.464599203Z,{"lat":10.84545063002417,"lon":106.68208089953815}
2024-07-13T12:51:19.478172108Z,{"lat":10.84545063002417,"lon":106.68208089953815}
2024-07-13T12:51:20.493108642Z,{"lat":10.845432937433012,"lon":106.68208589387032}
2024-07-13T12:51:21.498117497Z,{"lat":10.845432937433012,"lon":106.68208589387032}
2024-07-13T12:51:22.504243665Z,{"lat":10.845432937433012,"lon":106.68208589387032}
2024-07-13T12:51:23.512198346Z,{"lat":10.845432937433012,"lon":106.68208589387032}
2024-07-13T12:51:24.536620267Z,{"lat":10.845432937433012,"lon":106.68208589387032}
2024-07-13T12:51:25.547492091Z,{"lat":10.845432937433012,"lon":106.68208589387032}
2024-07-13T12:51:26.5513115Z,{"lat":10.845431532382825,"lon":106.68208707572117}
2024-07-13T12:51:27.567970128Z,{"lat":10.845431532382825,"lon":106.68208707572117}
2024-07-13T12:51:28.587713183Z,{"lat":10.845431532382825,"lon":106.68208707572117}
2024-07-13T12:51:29.609330711Z,{"lat":10.845431532382825,"lon":106.68208707572117}
2024-07-13T12:51:30.611578677Z,{"lat":10.845431532382825,"lon":106.68208707572117}
2024-07-13T12:51:32.196176045Z,{"lat":10.845431532382825,"lon":106.68208707572117}
2024-07-13T12:51:32.658727756Z,{"lat":10.845423889187172,"lon":106.68208811744023}
2024-07-13T12:51:33.631537525Z,{"lat":10.845423889187172,"lon":106.68208811744023}
2024-07-13T12:51:34.654821871Z,{"lat":10.845423889187172,"lon":106.68208811744023}
2024-07-13T12:51:35.656009114Z,{"lat":10.845423889187172,"lon":106.68208811744023}
2024-07-13T12:51:36.678684254Z,{"lat":10.845423889187172,"lon":106.68208811744023}
2024-07-13T12:51:37.689846235Z,{"lat":10.845423889187172,"lon":106.68208811744023}
2024-07-13T12:51:38.695738641Z,{"lat":10.845432224557054,"lon":106.68208634570423}
2024-07-13T12:51:39.715398067Z,{"lat":10.845432224557054,"lon":106.68208634570423}
2024-07-13T12:51:41.315944417Z,{"lat":10.845432224557054,"lon":106.68208634570423}
2024-07-13T12:51:41.744987473Z,{"lat":10.845432224557054,"lon":106.68208634570423}
2024-07-13T12:51:42.799847867Z,{"lat":10.845432224557054,"lon":106.68208634570423}
2024-07-13T12:51:43.769349894Z,{"lat":10.845434654114264,"lon":106.68208585987307}
2024-07-13T12:51:44.779818836Z,{"lat":10.845424830016556,"lon":106.68208762493961}
2024-07-13T12:51:46.322932477Z,{"lat":10.845424830016556,"lon":106.68208762493961}
2024-07-13T12:51:46.807060069Z,{"lat":10.845424830016556,"lon":106.68208762493961}
2024-07-13T12:51:47.815825254Z,{"lat":10.845424830016556,"lon":106.68208762493961}
2024-07-13T12:51:48.822769041Z,{"lat":10.845424830016556,"lon":106.68208762493961}
